product,quantity,price,revenue,region,date
手机,120,2999,359880,华北,2024-01
手机,95,2999,284905,华北,2024-02
手机,140,2999,419860,华北,2024-03
手机,80,2999,239920,华东,2024-01
手机,110,2999,329890,华东,2024-02
手机,100,2999,299900,华东,2024-03
手机,60,2999,179940,华南,2024-01
手机,75,2999,224925,华南,2024-02
手机,90,2999,269910,华南,2024-03
笔记本,80,5999,479920,华北,2024-01
笔记本,65,5999,389935,华北,2024-02
笔记本,90,5999,539910,华北,2024-03
笔记本,50,5999,299950,华东,2024-01
笔记本,70,5999,419930,华东,2024-02
笔记本,60,5999,359940,华东,2024-03
笔记本,40,5999,239960,华南,2024-01
笔记本,55,5999,329945,华南,2024-02
笔记本,45,5999,269955,华南,2024-03
平板,200,1999,399800,华北,2024-01
平板,180,1999,359820,华北,2024-02
平板,210,1999,419790,华北,2024-03
平板,150,1999,299850,华东,2024-01
平板,160,1999,319840,华东,2024-02
平板,170,1999,339830,华东,2024-03
平板,100,1999,199900,华南,2024-01
平板,120,1999,239880,华南,2024-02
平板,130,1999,259870,华南,2024-03
耳机,500,299,149500,华北,2024-01
耳机,450,299,134550,华北,2024-02
耳机,520,299,155480,华北,2024-03
耳机,300,299,89700,华东,2024-01
耳机,350,299,104650,华东,2024-02
耳机,380,299,113620,华东,2024-03
耳机,200,299,59800,华南,2024-01
耳机,250,299,74750,华南,2024-02
耳机,280,299,83720,华南,2024-03
